WKT,設置場所,利用時間
"POINT (138.1907318 36.6272154)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1910419 36.6279129)",屋外公衆電話,終日利用可
"POINT (138.1898439 36.63014)",屋外公衆電話,終日利用可
"POINT (138.1956739 36.6286845)",公衆電話(車いす可),終日利用可
"POINT (138.201922 36.6295114)",屋外公衆電話,終日利用可
"POINT (138.175914 36.6172013)",屋外公衆電話,終日利用可
"POINT (138.1838555 36.6184786)",屋外公衆電話,終日利用可
"POINT (138.1853774 36.6174807)",屋外公衆電話,終日利用可
"POINT (138.1971535 36.6121396)",屋外公衆電話,終日利用可
"POINT (138.186278 36.6104356)",屋外公衆電話,終日利用可
"POINT (138.1861385 36.6099447)",屋外公衆電話,終日利用可
"POINT (138.1445739 36.7070027)",屋外公衆電話,終日利用可
"POINT (138.2131351 36.6877191)",屋外公衆電話,終日利用可
"POINT (138.2066091 36.6838792)",屋外公衆電話,終日利用可
"POINT (138.1989704 36.67823089999999)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2128539 36.6830124)",屋内公衆電話,利用不可時間帯あり
"POINT (138.21531 36.6823437)",屋外公衆電話,終日利用可
"POINT (138.2161488 36.6802158)",屋外公衆電話,終日利用可
"POINT (138.1821713 36.6420035)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1830477 36.6377429)",屋外公衆電話,終日利用可
"POINT (138.1764681 36.6332129)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1725206 36.6338754)",屋外公衆電話,終日利用可
"POINT (138.169953 36.6317832)",屋外公衆電話,終日利用可
"POINT (138.2300167 36.6616611)",屋外公衆電話,終日利用可
"POINT (138.2484307 36.6624211)",屋外公衆電話,終日利用可
"POINT (138.2406691 36.6581777)",屋外公衆電話,終日利用可
"POINT (138.2498366 36.6570093)",屋外公衆電話,終日利用可
"POINT (138.2318351 36.6591374)",公衆電話(車いす可),終日利用可
"POINT (138.164756 36.6295374)",屋外公衆電話,終日利用可
"POINT (138.1573985 36.629131)",屋外公衆電話,終日利用可
"POINT (138.1611835 36.6274666)",屋外公衆電話
,終日利用可
"POINT (138.1591933 36.6263301)",屋外公衆電話,終日利用可
"POINT (138.1794416 36.6103721)",屋外公衆電話,終日利用可
"POINT (138.1655043 36.6170378)",屋内公衆電話,終日利用可
"POINT (138.1631107 36.6167614)",屋外公衆電話,終日利用可
"POINT (138.165129 36.6129131)",屋外公衆電話,終日利用可
"POINT (138.1722161 36.6035564)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1678006 36.6038581)",屋外公衆電話,終日利用可
"POINT (138.1754015 36.5990708)",屋外公衆電話,終日利用可
"POINT (138.2267597 36.6758123)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2307147 36.6752551)",屋外公衆電話
,終日利用可
"POINT (138.2183988 36.67609)",屋外公衆電話,終日利用可
"POINT (138.2208312 36.66744720000001)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2224865 36.6659271)",屋外公衆電話,終日利用可
"POINT (138.2224329 36.6652988)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2178261 36.664944)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2132775 36.6657831)",屋外公衆電話,終日利用可
"POINT (138.2079477 36.6540186)",屋外公衆電話,終日利用可
"POINT (138.2061795 36.6475303)",屋外公衆電話,終日利用可
"POINT (138.2120161 36.646092)",屋外公衆電話,終日利用可
"POINT (138.2152714 36.6425316)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2160371 36.6435959)",屋外公衆電話,終日利用可
"POINT (138.2051762 36.642694)",屋外公衆電話,終日利用可
"POINT (138.1992029 36.6408415)",屋外公衆電話,終日利用可
"POINT (138.1983953 36.6482701)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1936336 36.6446129)",屋外公衆電話,終日利用可
"POINT (138.1947565 36.6486405)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1924553 36.6490051)",屋外公衆電話,終日利用可
"POINT (138.1915292 36.6491023)",公衆電話(車いす可),終日利用可
"POINT (138.1953543 36.6514742)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1918073 36.6529983)",屋外公衆電話,利用不可時間帯あり
"POINT (138.1925038 36.6545078)",屋外公衆電話,終日利用可
"POINT (138.1973813 36.6546083)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1979285 36.655555)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2006751 36.6554173)",公衆電話(車いす可),終日利用可
"POINT (138.2065043 36.6566157)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1993627 36.658853)",屋外公衆電話,終日利用可
"POINT (138.1934402 36.6587223)",屋外公衆電話,終日利用可
"POINT (138.1936494 36.6586405)",屋外公衆電話,終日利用可
"POINT (138.1934161 36.6560593)",屋内公衆電話,終日利用可
"POINT (138.2093078 36.676317)",屋外公衆電話,終日利用可
"POINT (138.2117436 36.6725021)",屋外公衆電話,終日利用可
"POINT (138.2078933 36.6701789)",屋外公衆電話,終日利用可
"POINT (138.2052035 36.6689389)",屋外公衆電話,終日利用可
"POINT (138.2023481 36.6723084)",屋外公衆電話,終日利用可
"POINT (138.1942234 36.6677007)",屋外公衆電話,終日利用可
"POINT (138.2429812 36.6857627)",屋外公衆電話,終日利用可
"POINT (138.2394748 36.6877719)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2351725 36.6871353)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2369567 36.6823332)",屋外公衆電話,終日利用可
"POINT (138.2290057 36.6834763)",屋外公衆電話,終日利用可
"POINT (138.2272559 36.6860227)",屋外公衆電話,終日利用可
"POINT (137.965226 36.535312)",屋外公衆電話,終日利用可
"POINT (138.2542974 36.6696329)",屋内公衆電話,利用不可時間帯あり
"POINT (138.259458 36.676331)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1922829 36.6044935)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1945472 36.6039638)",屋外公衆電話,終日利用可
"POINT (138.193757 36.6005658)",屋外公衆電話,終日利用可
"POINT (138.2113393 36.6386508)",屋外公衆電話,終日利用可
"POINT (138.2095346 36.6346851)",屋外公衆電話,終日利用可
"POINT (138.21851 36.6333803)",屋外公衆電話,終日利用可
"POINT (138.2065654 36.6339406)",屋内公衆電話,終日利用可
"POINT (138.203503 36.6313065)",屋内公衆電話,終日利用可
"POINT (138.1666457 36.5810556)",公衆電話(車いす可),終日利用可
"POINT (138.1672573 36.5788328)",屋外公衆電話,終日利用可
"POINT (138.1600367 36.5796427)",屋外公衆電話,終日利用可
"POINT (138.1576549 36.5772389)",屋外公衆電話,終日利用可
"POINT (138.2434782 36.6702251)",屋外公衆電話,終日利用可
"POINT (138.2371672 36.6690966)",屋外公衆電話,終日利用可
"POINT (138.2457172 36.6804551)",屋内公衆電話,終日利用可
"POINT (138.2112402 36.6243467)",屋外公衆電話,利用不可時間帯あり
"POINT (138.2154275 36.6260696)",屋外公衆電話,終日利用可
"POINT (138.1955928 36.6290866)",公衆電話(車いす可),終日利用可
"POINT (138.1531535 36.5894895)",屋外公衆電話,終日利用可
"POINT (138.1566125 36.5942611)",屋内公衆電話,終日利用可
"POINT (138.1511539 36.5952304)",屋外公衆電話,終日利用可
"POINT (138.1477153 36.5940897)",屋外公衆電話,終日利用可
"POINT (138.1457544 36.5924431)",屋外公衆電話,終日利用可
"POINT (138.1452159 36.5954119)",公衆電話(車いす可),終日利用可
"POINT (138.1533892 36.6013258)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1545694 36.6006023)",屋外公衆電話,終日利用可
"POINT (138.1519838 36.6026006)",屋外公衆電話,終日利用可
"POINT (138.1550296 36.604309)",屋外公衆電話,終日利用可
"POINT (138.1509799 36.6146098)",屋外公衆電話,終日利用可
"POINT (138.1604475 36.6104129)",屋外公衆電話,終日利用可
"POINT (138.1510093 36.5822823)",屋内公衆電話,利用不可時間帯あり
